id,ground_truths,query,original_answers,reranked_answers
10117,"[108356, 44625, 106193, 103667, 46101, 42615, 111482, 48219, 112316]",Could you identify the biological processes that are involved with or influenced by the gene or protein linked to Distal Sensory Impairment?,"[43501, 102604, 53213, 46467, 110298, 106194, 46960, 109207, 41524, 40082, 40976, 114094, 42844, 51547, 53059, 47425, 109925, 49957, 46873, 111174]","[46467, 110298, 106194, 109207, 43501, 53213, 41524, 40082, 40976, 114094, 51547, 53059, 47425, 109925, 49957, 46873, 111174, 102604, 46960, 42844]"
5699,[16019],"Can you give me a list of drugs that target the FLT4 gene/protein and also suppress inflammation, edema, and angiogenesis?","[16021, 16019, 16018, 15230, 15020, 15674, 15002, 16022, 15752, 15599, 15205, 14413, 14945, 16020, 16492, 18187, 16510, 14449, 14373, 15680]","[16021, 16019, 16018, 15230, 15020, 15674, 15002, 16022, 15752, 15599, 15205, 14413, 14945, 16020, 16492, 18187, 16510, 14449, 14373, 15680]"
7152,"[94307, 22349, 22335]",What are the observed effects or phenotypes associated specifically with the subtype of suppurative uveitis?,"[22335, 94307, 88762, 25844, 22349, 25843, 25415, 24425, 88772, 84469, 22400, 24423, 26090, 87212, 22613, 24416, 89983, 89008, 24417, 22604]","[22335, 94307, 22349, 84469, 24416, 89983, 24417, 88762, 25844, 25843, 25415, 24425, 88772, 22400, 24423, 26090, 87212, 22613, 89008, 22604]"
10551,[111],"Which genes encode proteins that interact with both O-Trifluoromethylphenyl Anthranilic Acid and N-(3,5-dibromo-4-hydroxyphenyl)benzamide as ligands?","[111, 1831, 452, 9610, 8877, 197, 5137, 9088, 4688, 9136, 315, 10385, 3392, 9181, 1986, 8974, 5688, 9929, 22092, 10901]","[111, 1831, 452, 9610, 8877, 197, 5137, 9088, 4688, 9136, 315, 10385, 3392, 9181, 1986, 8974, 5688, 9929, 22092, 10901]"
7224,[14558],"Which medication, facilitated by gene or protein interactions with the sarcolemma, exhibits minimal impact on blood gases, respiratory function, and the cardiovascular system?","[14386, 14228, 14861, 15308, 16219, 14784, 14315, 14644, 14136, 14511, 15446, 16991, 16672, 14838, 20339, 19617, 16310, 17217, 21009, 15962]","[14511, 14386, 14228, 14861, 15308, 16219, 14784, 14315, 14644, 14136, 16991, 16672, 19617, 16310, 17217, 21009, 15962, 15446, 14838, 20339]"
2287,[39750],What diseases are subclassified under secondary malignant neoplasms and have metastatic potential?,"[39750, 39751, 36496, 39748, 39749, 35612, 84263, 37619, 99925, 99926, 83825, 37682, 37498, 36557, 35965, 97069, 35633, 99581, 35727, 35468]","[36496, 39750, 39751, 39748, 39749, 35612, 84263, 37619, 99925, 99926, 83825, 37682, 37498, 36557, 35965, 97069, 35633, 99581, 35727, 35468]"
1804,[12390],"Please find me genes or proteins linked to pediatric liver cancer, interacting with PAXIP1, highly expressed in lung adenocarcinoma, with a nuclear signal and similarity to GAGE/PAGE proteins.","[12390, 1641, 2037, 769, 8289, 505, 5558, 42, 33983, 5240, 3807, 924, 500, 729, 13191, 11730, 5164, 12752, 7884, 56863]","[12390, 1641, 2037, 769, 8289, 5558, 42, 33983, 5240, 3807, 924, 500, 729, 11730, 5164, 12752, 7884, 505, 56863, 13191]"
1989,[32731],"What possible conditions could I have that are linked to or similar to uniparental disomy of chromosome X, particularly if this led to me inheriting two copies of a recessive gene from my mother?","[30826, 28350, 27305, 30924, 29694, 84105, 27202, 31726, 35966, 38292, 30592, 31662, 30047, 32443, 32320, 32731, 32724, 98770, 98771, 39314]","[28350, 27305, 30924, 29694, 84105, 31726, 35966, 38292, 30592, 31662, 30047, 32443, 32320, 32731, 32724, 98770, 98771, 39314, 30826, 27202]"
4242,[14844],Can you recommend medications that treat both eosinophilic pneumonia and a parasitic worm infection?,"[18799, 14844, 14019, 19177, 14023, 18798, 14030, 15003, 14024, 14320, 14269, 14028, 14042, 15307, 14698, 15450, 15644, 15365, 15647, 14696]","[14844, 19177, 14023, 18798, 14030, 15003, 14024, 14320, 14269, 14028, 14042, 15307, 14698, 15450, 15644, 15365, 15647, 14696, 18799, 14019]"
2080,[15572],What are the recommended medications for managing BCR-ABL1 positive blast phase CML?,"[14794, 15030, 15187, 15970, 14207, 15572, 15964, 15683, 15674, 15967, 15599, 15134, 15969, 15966, 15968, 19620, 15748, 14450, 15805, 15750]","[14794, 15030, 15187, 14207, 15572, 15970, 15964, 15683, 15674, 15967, 15599, 15134, 15969, 15966, 15968, 19620, 15748, 14450, 15805, 15750]"
3755,[31517],What hereditary diseases are associated with the HLA-C gene?,"[39870, 30299, 35438, 28896, 28543, 35441, 29161, 83817, 30768, 30582, 30223, 30201, 94920, 38641, 30066, 27420, 28347, 38262, 31506, 39271]","[39870, 30299, 35438, 28896, 30768, 30223, 30201, 94920, 38641, 30066, 27420, 28347, 38262, 31506, 39271, 28543, 35441, 29161, 83817, 30582]"
11152,[111],"Identify common genetic targets of both 3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid and 2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol.","[111, 1986, 651, 5930, 40, 56559, 9055, 1246, 29, 1170, 1373, 375, 5923, 6043, 9136, 12126, 8974, 11009, 11396, 4569]","[111, 1986, 651, 5930, 40, 56559, 9055, 1246, 29, 1170, 1373, 375, 5923, 6043, 9136, 12126, 8974, 11009, 11396, 4569]"
8732,[2387],Please identify the common gene targets that both Hydrocortisone phosphate and Testosterone propionate interact with.,"[2387, 4152, 8974, 509, 13313, 13122, 12537, 1424, 10901, 12434, 10312, 34801, 697, 363, 452, 9181, 5198, 5248, 5222, 77151]","[2387, 4152, 8974, 509, 13313, 13122, 12537, 1424, 10901, 12434, 10312, 34801, 697, 363, 452, 9181, 5198, 5248, 5222, 77151]"
2855,[39274],What genetic disorder associated with the PMP22 gene manifests symptoms similar to acute sensory ataxic neuropathy?,"[95012, 27625, 95011, 31538, 27530, 95014, 95010, 27775, 95009, 39274, 31973, 37865, 37354, 39273, 38539, 30636, 30406, 27793, 27801, 31519]","[95012, 27625, 31538, 27530, 95010, 27775, 39274, 31973, 37865, 37354, 39273, 38539, 30636, 30406, 27793, 27801, 31519, 95011, 95014, 95009]"
8602,[2387],Identify common genetic targets modulated by both 2-Methoxyestradiol and Hydrocortisone probutate.,"[2387, 2756, 12769, 452, 201, 4315, 497, 1373, 8205, 5930, 3209, 375, 3183, 4389, 7434, 509, 9181, 5248, 13122, 8219]","[2387, 2756, 12769, 452, 201, 4315, 497, 1373, 8205, 5930, 3209, 375, 3183, 7434, 509, 9181, 5248, 13122, 8219, 4389]"
10675,"[33738, 93734, 94246, 94374]",What are the observed effects or phenotypes associated with the subtype of gastritis induced by alcohol consumption?,"[94246, 94374, 93734, 33738, 22380, 22681, 24423, 22676, 26180, 24436, 94139, 85558, 94271, 22746, 22400, 90791, 22987, 94021, 86156, 86153]","[94246, 94374, 93734, 33738, 26180, 24436, 94139, 85558, 94271, 22746, 22400, 90791, 22987, 94021, 86156, 86153, 22380, 22681, 24423, 22676]"
3426,[3012],"Could you find genes or proteins that bind to integrins, are involved in Syndecan signaling, and play a role in pyloric atresia onset or progression?","[769, 2037, 282, 1616, 1260, 1020, 6550, 1803, 4252, 454, 7447, 5592, 691, 1091, 6916, 964, 77646, 78711, 835, 81411]","[769, 2037, 282, 1616, 1260, 1020, 6550, 1803, 4252, 454, 7447, 5592, 691, 1091, 6916, 964, 77646, 78711, 835, 81411]"
7867,"[63824, 64876]",Which anatomical structures lack the expression of genes or proteins that play a role in the interaction with the development of the metanephric nephron?,"[63235, 64800, 64675, 63273, 67302, 64799, 65990, 64338, 63149, 65509, 68030, 64778, 63466, 64313, 68618, 67074, 63180, 63173, 67230, 67242]","[64800, 64799, 65990, 64338, 63149, 64778, 63466, 67074, 63180, 63173, 67242, 63235, 64675, 63273, 67302, 65509, 68030, 64313, 68618, 67230]"
9579,[4003],What are the common gene targets associated with both Chromium and Chromous sulfate exposure or interactions?,"[8974, 5292, 13807, 7880, 3955, 10412, 127437, 4569, 9138, 4837, 12769, 10901, 2124, 2094, 12697, 4244, 34026, 6747, 8212, 12052]","[5292, 13807, 7880, 3955, 10412, 127437, 4569, 4837, 10901, 2094, 6747, 8212, 8974, 9138, 12769, 2124, 12697, 4244, 34026, 12052]"
4507,[15149],Can you assist in identifying a drug used to treat acute myeloid leukemia in adults that may also have Non-Hodgkin lymphoma as a possible side effect?,"[15263, 14713, 14791, 15149, 14780, 14663, 14789, 15414, 15018, 16495, 14628, 15739, 14313, 14275, 14764, 15187, 18102, 14207, 19612, 21500]","[14628, 14275, 15263, 14713, 14791, 15149, 14780, 14663, 14789, 15414, 15018, 16495, 14313, 18102, 14207, 14764, 15739, 15187, 19612, 21500]"
9714,"[35909, 30382, 35953, 38040, 33598]","What condition, characterized by an abrupt neurological deficit stemming from a cerebrovascular disturbance, also serves as a reason to avoid medications prescribed for the treatment of secondary hypopituitarism?","[33598, 30382, 35909, 38040, 35641, 37768, 37573, 36330, 36469, 28017, 83815, 32394, 83767, 35761, 31618, 32738, 32736, 97510, 39539, 32217]","[32738, 39539, 33598, 30382, 35909, 38040, 35641, 37768, 37573, 36330, 36469, 28017, 83815, 32394, 83767, 31618, 35761, 32736, 97510, 32217]"
5318,[20595],Can you give me a list of drugs used for respiratory infections that are also researched in treating both kinds of Tuberculosis and Community Acquired Pneumonia in clinical trials?,"[15697, 14465, 15325, 20308, 15419, 14309, 20203, 20208, 15180, 20407, 14167, 14285, 15353, 20415, 14995, 14267, 15600, 15547, 14451, 20402]","[15697, 14465, 15325, 20308, 15419, 14309, 20203, 20208, 14285, 15353, 14995, 15600, 15547, 14451, 20402, 20415, 15180, 20407, 14167, 14267]"
5883,[27835],Identify diseases that lack associated therapeutic drugs and are correlated with elevated levels of circulating surfactant proteins.,"[27351, 31631, 32483, 32659, 30892, 33063, 39872, 30661, 83905, 33091, 36812, 28456, 35565, 31116, 28249, 98100, 38754, 98542, 29735, 29822]","[27351, 31631, 32659, 30892, 33063, 83905, 33091, 36812, 28456, 35565, 98100, 38754, 98542, 29735, 29822, 32483, 39872, 30661, 31116, 28249]"
8814,"[22264, 22373, 22604, 25900, 84767, 84814, 88744, 88765, 89294]",What are the characteristic symptoms or manifestations observed in patients with the epidemic subtype of keratoconjunctivitis?,"[22604, 89294, 84814, 88765, 88744, 22264, 25900, 22373, 84767, 88988, 25843, 22612, 26262, 22616, 22410, 22605, 94222, 91574, 89008, 84659]","[22616, 89294, 25843, 22612, 22410, 94222, 91574, 89008, 84659, 22604, 84814, 88765, 88744, 22264, 25900, 22373, 84767, 88988, 26262, 22605]"
3632,[1424],Please find genes and proteins involved in Glucocorticoid biosynthesis that also functionally interact with steroid binding.,"[1424, 9181, 3894, 13122, 509, 5248, 2387, 34059, 35040, 3043, 8974, 10312, 3501, 463, 7105, 792, 12902, 7130, 8318, 11562]","[9181, 35040, 7105, 792, 1424, 3894, 13122, 509, 5248, 2387, 34059, 3043, 8974, 10312, 3501, 463, 7130, 8318, 11562, 12902]"
7523,"[14242, 14318, 14175]","Could you provide a list of medications that not only interact synergistically with Cefalotin but are also prescribed for treating the same conditions, and possess a prolonged half-life, approximately 20 hours, for extended efficacy in conjunction with Cefalotin?","[20207, 20261, 14773, 14318, 20485, 20264, 14332, 20655, 17376, 20700, 20249, 14335, 20670, 20208, 14333, 14172, 14169, 20235, 20729, 14942]","[14318, 20485, 20264, 14332, 20655, 17376, 20700, 20249, 14335, 20670, 20208, 14333, 14172, 14169, 20235, 20729, 14942, 20207, 20261, 14773]"
1118,[35645],Could you share a list of neurodegenerative conditions related to cerebral folate transport issues or diseases tied to isolated familial vitamin E deficiencies?,"[28900, 31820, 30577, 28401, 32526, 32761, 27452, 32678, 32195, 30543, 28262, 27700, 38761, 35915, 28313, 29451, 99974, 38628, 38192, 27493]","[28900, 31820, 32678, 32195, 30543, 28262, 27700, 38761, 35915, 28313, 29451, 99974, 38628, 38192, 27493, 30577, 28401, 32526, 32761, 27452]"
2236,"[14176, 15497]",Could you find any drugs that target the CHRNA3 receptor and have a half-life ranging from 1 to 16 days?,"[19713, 17889, 15497, 14176, 14880, 14830, 14160, 15104, 14544, 17650, 14137, 18028, 17132, 17891, 14587, 14124, 17217, 14122, 14942, 19174]","[14880, 17889, 14176, 14830, 14160, 15104, 14544, 17650, 14137, 18028, 17132, 17891, 14587, 14124, 17217, 14122, 14942, 19174, 19713, 15497]"
8757,[34739],"Which gene or protein, believed to play a role in inhibiting the canonical Wnt signaling pathway, is undetectable in both the small intestine and tonsil tissues?","[34739, 1996, 9005, 56501, 34753, 2732, 22021, 5610, 6034, 13062, 13068, 3429, 6761, 60165, 59529, 4050, 5158, 34871, 13615, 10372]","[34739, 1996, 56501, 34753, 2732, 22021, 5610, 13062, 13068, 3429, 6761, 4050, 5158, 34871, 13615, 10372, 9005, 6034, 60165, 59529]"
10518,[8682],Which genes or proteins are present in the gallbladder but not expressed in the metanephric glomerulus?,"[8682, 11504, 1197, 12485, 60599, 1994, 7605, 35211, 13631, 5508, 7164, 2971, 11845, 34429, 4315, 22105, 5188, 3470, 79070, 13733]","[11504, 8682, 1197, 12485, 60599, 1994, 7605, 35211, 13631, 5508, 7164, 2971, 11845, 34429, 4315, 22105, 5188, 3470, 79070, 13733]"
10726,"[417, 6589, 2057]","Which gene or protein, characterized by the presence of seven immunoglobulin domains and playing a role in cell adhesion, also engages in interaction with the gene or protein responsible for the Recycling of eIF2:GDP?","[444, 2593, 1667, 982, 893, 4024, 663, 10540, 2164, 1958, 6050, 7388, 35063, 2807, 1686, 59253, 7449, 1172, 56974, 60477]","[444, 2593, 1667, 982, 893, 4024, 663, 10540, 2164, 1958, 6050, 7388, 35063, 2807, 1686, 59253, 7449, 1172, 56974, 60477]"
4052,[15768],Can you identify any drugs in our database that target the JAK1 gene with a selectivity that is at least tenfold more potent against JAK1 compared to JAK2?,"[15666, 15269, 14407, 15597, 15250, 15768, 15674, 18870, 19315, 19316, 19642, 15748, 19317, 15673, 19318, 21690, 18346, 15752, 15020, 15002]","[15269, 15768, 15250, 15674, 19315, 19316, 15748, 19317, 15673, 19318, 21690, 18346, 15752, 15020, 15002, 15666, 14407, 15597, 18870, 19642]"
7320,"[15160, 15797, 15614]","Can you provide a list of long-acting beta-2 agonists that, when combined with Oxitropium, demonstrate a synergistic effect in the treatment of bronchospasm for a condition both medications are prescribed for?","[15797, 14159, 15160, 15614, 15166, 14272, 15229, 17561, 14862, 14263, 15479, 14873, 17562, 15254, 14848, 20370, 16532, 15546, 16538, 14292]","[15797, 14159, 15160, 15614, 15166, 14272, 15229, 17561, 14862, 14263, 15479, 14873, 17562, 15254, 14848, 20370, 16532, 15546, 16538, 14292]"
10929,[27933],Find health conditions linked to the HSP90AA1 protein that should not be treated with Dihydrocodeine.,"[27933, 83867, 35764, 27878, 35565, 30035, 35771, 37334, 28347, 83841, 84243, 32617, 37805, 84244, 37924, 29544, 28967, 36544, 98644, 36266]","[27933, 83867, 35764, 27878, 35565, 30035, 35771, 37334, 28347, 83841, 84243, 37805, 37924, 29544, 36544, 98644, 36266, 32617, 84244, 28967]"
2748,[95115],"What diseases are associated with NUDT15 gene mutations, and how do these links affect disease presentation and treatment efficacy?","[95115, 30229, 29103, 30679, 97822, 99134, 38164, 38907, 29121, 31655, 38262, 27300, 31498, 28904, 27421, 28270, 28182, 31058, 28354, 30299]","[95115, 29103, 97822, 38164, 38907, 31655, 38262, 27300, 31498, 28904, 27421, 28270, 28182, 31058, 28354, 30299, 30229, 30679, 99134, 29121]"
5215,"[94662, 94900, 94901, 94902, 98356, 98357, 38649, 98358, 27292]","What disease is a subtype of glycogen storage disease caused by branching enzyme deficiency, characterized by abnormal glycogen buildup, affecting enzymes involved in glycogen metabolism?","[27589, 38668, 38649, 27295, 38648, 29812, 29225, 32796, 32861, 32211, 38647, 28475, 94893, 33023, 29841, 98356, 98358, 94902, 94662, 98357]","[94662, 98357, 27589, 29812, 32796, 32861, 38647, 28475, 33023, 98356, 98358, 94902, 38668, 38649, 27295, 38648, 29225, 32211, 94893, 29841]"
2998,"[16353, 15555, 15174, 15274, 14957, 15151, 15484, 20305, 15188, 15417, 17306, 17307, 20508, 17309]",Could you recommend any appetite suppressants that are effective for weight control?,"[16205, 15188, 15417, 17307, 15484, 19503, 14721, 20508, 19327, 17309, 19504, 15151, 16885, 20191, 20305, 16353, 15555, 19326, 17797, 19328]","[15188, 17307, 15484, 14721, 20305, 19504, 16205, 15417, 19503, 20508, 19327, 17309, 15151, 16885, 20191, 16353, 15555, 19326, 19328, 17797]"
