id,query,entities,relations
580,"Looking for papers that have either been referenced in ""Study on power coupling of annular vortex beam propagating through a two-Cassegrain-telescope optical system in turbulent atmosphere"" or explore similar features and uses of vortex electron beams in turbulent conditions.","{
  ""A"": {
    ""type"": [""paper""],
    ""lexical"": {""title"": ""Study on power coupling of annular vortex beam propagating through a two-Cassegrain-telescope optical system in turbulent atmosphere""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {},
    ""semantic"": [""vortex electron beams"", ""turbulent conditions""],
    ""constant"": false
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""vortex electron beams""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""similar features and uses of vortex electron beams in turbulent conditions"", ""referenced in Study on power coupling of annular vortex beam propagating through a two-Cassegrain-telescope optical system in turbulent atmosphere""],
    ""constant"": false
  }
}","{
(""A"", ""C""): [""has_topic""],
(""A"", ""B""): [""has_topic""],
(""ANSWER"", ""C""): [""has_topic""],
(""ANSWER"", ""B""): [""has_topic""],
(""A"", ""ANSWER""): [""cites""]
}"
249,"Find papers related to surface plasmons that cite or are cited by ""Conventional and acoustic surface plasmons on noble metal surfaces: a time-dependent density functional theory study"".","{
  ""A"": {
    ""type"": [""paper""],
    ""lexical"": {""title"": ""Conventional and acoustic surface plasmons on noble metal surfaces: a time-dependent density functional theory study""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""surface plasmons""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""related to surface plasmons"", ""cite or are cited by""],
    ""constant"": false
  }
}","{
(""A"", ""B""): [""has_topic""],
(""A"", ""ANSWER""): [""cites""],
(""ANSWER"", ""B""): [""has_topic""],
(""ANSWER"", ""A""): [""cites""]
}"
9732,Could you show me some papers that delve into the study of fractional order equations within the context of the Hunter-Saxton equation?,"{
  ""A"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""fractional order equations""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""Hunter-Saxton equation""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""study of fractional order equations"", ""context of the Hunter-Saxton equation""],
    ""constant"": false
  }
}","{
(""A"", ""B""): [""has_topic""],
(""ANSWER"", ""A""): [""has_topic""],
(""ANSWER"", ""B""): [""has_topic""]
}"
12873,"What are the other studies about restraining dark matter using 21-cm cosmology that are also referenced in the ""Bounds on Dark Matter decay from 21 cm line"" paper?","{
  ""A"": {
    ""type"": [""paper""],
    ""lexical"": {""title"": ""Bounds on Dark Matter decay from 21 cm line""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""21-cm cosmology""},
    ""semantic"": [],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""dark matter""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""restraining dark matter"", ""referenced in the Bounds on Dark Matter decay from 21 cm line paper""],
    ""constant"": false
  }
}","{
(""A"", ""B""): [""has_topic""],
(""A"", ""C""): [""has_topic""],
(""A"", ""ANSWER""): [""cites""],
(""B"", ""C""): [""writes"", ""affiliated_with"", ""cites"", ""has_topic""],
(""B"", ""ANSWER""): [""has_topic""],
(""C"", ""ANSWER""): [""has_topic""],
(""ANSWER"", ""A""): [""cites""]
}"
8411,Does Chung Shan Medical University have any research papers on the study of all-optically controllable random lasers in the context of Dye lasers?,"{
  ""A"": {
    ""type"": [""institution""],
    ""lexical"": {""name"": ""Chung Shan Medical University""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""all-optically controllable random lasers""},
    ""semantic"": [""Dye lasers""],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""Dye lasers""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""research papers"", ""study of all-optically controllable random lasers""],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""affiliated_with""],
(""ANSWER"", ""B""): [""has_topic""],
(""ANSWER"", ""C""): [""has_topic""],
(""B"", ""C""): [""has_topic""]
}"
1159,Does any research relate Steyr Mannlicher to reflective boundary conditions within the context of Applied Mathematics?,"{
  ""A"": {
    ""type"": [""institution""],
    ""lexical"": {""name"": ""Steyr Mannlicher""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""Applied Mathematics""},
    ""semantic"": [],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""reflective boundary conditions""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper"", ""research""],
    ""lexical"": {},
    ""semantic"": [""relate Steyr Mannlicher to reflective boundary conditions"", ""within the context of Applied Mathematics""],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""affiliated_with""],
(""B"", ""ANSWER""): [""has_topic""],
(""C"", ""ANSWER""): [""has_topic""],
(""B"", ""C""): [""has_topic""]
}"
8846,Show me publications by Simone Daflon on B-type stars characteristics.,"{
  ""A"": {
    ""type"": [""author""],
    ""lexical"": {""name"": ""Simone Daflon""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""B-type stars characteristics""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""publications by Simone Daflon"", ""B-type stars characteristics""],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""writes""],
(""ANSWER"", ""B""): [""has_topic""]
}"
8136,"Looking for research articles on macromolecular crowding, focusing on its impact on molecular mobility, chemical reactions, and gene expression in cellular environments.","{
  ""A"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""macromolecular crowding""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""molecular mobility""},
    ""semantic"": [],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""chemical reactions""},
    ""semantic"": [],
    ""constant"": true
  },
  ""D"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""gene expression""},
    ""semantic"": [],
    ""constant"": true
  },
  ""E"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""cellular environments""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""research articles"", ""impact on molecular mobility"", ""chemical reactions"", ""gene expression in cellular environments""],
    ""constant"": false
  }
}","{
(""ANSWER"", ""A""): [""has_topic""],
(""ANSWER"", ""B""): [""has_topic""],
(""ANSWER"", ""C""): [""has_topic""],
(""ANSWER"", ""D""): [""has_topic""],
(""ANSWER"", ""E""): [""has_topic""]
}"
4663,Could you show me some papers studying the stability of silver nanoblocks in the Sulfidation field?,"{
  ""A"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""Sulfidation""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""stability of silver nanoblocks""],
    ""constant"": false
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""stability of silver nanoblocks"", ""Sulfidation field""],
    ""constant"": false
  }
}","{
(""B"", ""A""): [""has_topic""],
(""ANSWER"", ""A""): [""has_topic""]
}"
5382,Show me publications by Zhuo Chen on electrically tunable wide-spectrum absorptive coatings.,"{
  ""A"": {
    ""type"": [""author""],
    ""lexical"": {""name"": ""Zhuo Chen""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""electrically tunable wide-spectrum absorptive coatings""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""publications by Zhuo Chen"", ""electrically tunable wide-spectrum absorptive coatings""],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""writes""],
(""ANSWER"", ""B""): [""has_topic""]
}"
12660,Exciton tunneling research articles by University of Northern British Columbia authors.,"{
  ""A"": {
    ""type"": [""institution""],
    ""lexical"": {""name"": ""University of Northern British Columbia""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""author""],
    ""lexical"": {},
    ""semantic"": [""University of Northern British Columbia""],
    ""constant"": false
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""exciton tunneling""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""research articles"", ""exciton tunneling"", ""University of Northern British Columbia authors""],
    ""constant"": false
  }
}","{
(""B"", ""A""): [""affiliated_with""],
(""B"", ""ANSWER""): [""writes""],
(""ANSWER"", ""C""): [""has_topic""]
}"
6877,"I'm looking for papers with a shared authorship with ""Passive-scheme analysis for solving the untrusted source problem in quantum key distribution"", which additionally delve into the analysis of beam wander effects or are related to the same field concerning how these effects can influence quantum key distribution systems. This is with the aim of exploring future research collaborations with authors experienced in this topic, particularly as it pertains to resolving potential issues that untrusted sources may cause.","{
  ""A"": {
    ""type"": [""paper""],
    ""lexical"": {""title"": ""Passive-scheme analysis for solving the untrusted source problem in quantum key distribution""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""author""],
    ""lexical"": {},
    ""semantic"": [""experienced in beam wander effects and quantum key distribution""],
    ""constant"": false
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""quantum key distribution""},
    ""semantic"": [""beam wander effects"", ""untrusted sources""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""shared authorship"", ""analysis of beam wander effects"", ""quantum key distribution systems"", ""future research collaborations""],
    ""constant"": false
  }
}","{
(""B"", ""A""): [""writes""],
(""B"", ""ANSWER""): [""writes""],
(""A"", ""C""): [""has_topic""],
(""ANSWER"", ""C""): [""has_topic""],
(""B"", ""C""): [""affiliated_with""]
}"
8155,"Can you search for 2013 Applied Physics Letters publications in the same field, co-authored by one of the authors from ""Ultraviolet Raman spectra of few nanometer thick silicon-on-insulator nanofilms: Lifetime reduction of confined phonons"" that also delve into single silicon nanowires investigations, much like this paper?","{
  ""A"": {
    ""type"": [""paper""],
    ""lexical"": {""title"": ""Ultraviolet Raman spectra of few nanometer thick silicon-on-insulator nanofilms: Lifetime reduction of confined phonons""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""author""],
    ""lexical"": {},
    ""semantic"": [""co-author of Ultraviolet Raman spectra of few nanometer thick silicon-on-insulator nanofilms: Lifetime reduction of confined phonons""],
    ""constant"": false
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""single silicon nanowires investigations""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {""name"": ""2013 Applied Physics Letters""},
    ""semantic"": [""same field as Ultraviolet Raman spectra of few nanometer thick silicon-on-insulator nanofilms: Lifetime reduction of confined phonons"", ""co-authored by one of the authors from Ultraviolet Raman spectra of few nanometer thick silicon-on-insulator nanofilms: Lifetime reduction of confined phonons"", ""delve into single silicon nanowires investigations""],
    ""constant"": false
  }
}","{
  (""B"", ""A""): [""writes""],
  (""B"", ""ANSWER""): [""writes""],
  (""A"", ""C""): [""has_topic""],
  (""ANSWER"", ""C""): [""has_topic""]
}"
11927,"Search for Astronomy papers discussing the links between solar activity and magnetic clouds from 1995 to 2012, affiliated with University of the District of Columbia.","{
  ""A"": {
    ""type"": [""institution""],
    ""lexical"": {""name"": ""University of the District of Columbia""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""Astronomy""},
    ""semantic"": [],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""solar activity""},
    ""semantic"": [],
    ""constant"": true
  },
  ""D"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""magnetic clouds""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""links between solar activity and magnetic clouds"", ""1995 to 2012"", ""Astronomy""],
    ""constant"": false
  }
}","{
(""ANSWER"", ""B""): [""has_topic""],
(""ANSWER"", ""C""): [""has_topic""],
(""ANSWER"", ""D""): [""has_topic""],
(""A"", ""ANSWER""): [""affiliated_with""]
}"
7718,"Can you show me studies that not only reference ""Experimental Demonstration of XOR Operation in Graphene Magnetologic Gates at Room Temperature"", but also showcase the detection of spin accumulation in graphene through a current-based approach at room temperature?","{
  ""A"": {
    ""type"": [""paper""],
    ""lexical"": {""title"": ""Experimental Demonstration of XOR Operation in Graphene Magnetologic Gates at Room Temperature""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {},
    ""semantic"": [""detection of spin accumulation in graphene"", ""current-based approach"", ""room temperature""],
    ""constant"": false
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""graphene""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""studies"", ""reference"", ""detection of spin accumulation"", ""current-based approach"", ""room temperature""],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""cites""],
(""ANSWER"", ""B""): [""has_topic""],
(""ANSWER"", ""C""): [""has_topic""],
(""A"", ""C""): [""has_topic""]
}"
9014,Search for papers by Adam Smercina on dust and gas properties.,"{
  ""A"": {
    ""type"": [""author""],
    ""lexical"": {""name"": ""Adam Smercina""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""dust and gas properties""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""papers by Adam Smercina"", ""dust and gas properties""],
    ""constant"": false
  }
}","{
  (""A"", ""ANSWER""): [""writes""],
  (""ANSWER"", ""B""): [""has_topic""]
}"
7607,Publications on airflow generation by authors affiliated with Hanoi University of Industry,"{
  ""A"": {
    ""type"": [""institution""],
    ""lexical"": {""name"": ""Hanoi University of Industry""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""author""],
    ""lexical"": {},
    ""semantic"": [""affiliated with Hanoi University of Industry""],
    ""constant"": false
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""publications"", ""airflow generation""],
    ""constant"": false
  }
}","{
  (""A"", ""B""): [""affiliated_with""],
  (""B"", ""ANSWER""): [""writes""],
  (""ANSWER"", ""A""): []
}"
9258,Does Dongbei University of Finance and Economics have any research papers on the photo-assisted growth of p-type ZnO films related to the study of ionization energy in materials science?,"{
  ""A"": {
    ""type"": [""institution""],
    ""lexical"": {""name"": ""Dongbei University of Finance and Economics""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""materials science""},
    ""semantic"": [],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""ionization energy""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""photo-assisted growth of p-type ZnO films"", ""research papers""],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""affiliated_with""],
(""ANSWER"", ""B""): [""has_topic""],
(""ANSWER"", ""C""): [""has_topic""]
}"
11511,Show me publications by S. Mtougui on magnetic properties.,"{
  ""A"": {
    ""type"": [""author""],
    ""lexical"": {""name"": ""S. Mtougui""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""magnetic properties""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""publications by S. Mtougui on magnetic properties""],
    ""constant"": false
  }
}","{
  (""A"", ""ANSWER""): [""writes""],
  (""ANSWER"", ""B""): [""has_topic""]
}"
7100,"Can you find any publications from the co-authors of ""A high-resolution photon-counting breast CT system with tensor-framelet based iterative image reconstruction for radiation dose reduction"", which also explore the quantification of iodine in mammography using similar iterative reconstruction methods?","{
  ""A"": {
    ""type"": [""paper""],
    ""lexical"": {""title"": ""A high-resolution photon-counting breast CT system with tensor-framelet based iterative image reconstruction for radiation dose reduction""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""author""],
    ""lexical"": {},
    ""semantic"": [""co-authors of A high-resolution photon-counting breast CT system""],
    ""constant"": false
  },
  ""C"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""iterative image reconstruction""},
    ""semantic"": [],
    ""constant"": true
  },
  ""D"": {
    ""type"": [""field_of_study""],
    ""lexical"": {""name"": ""quantification of iodine in mammography""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""paper""],
    ""lexical"": {},
    ""semantic"": [""publications from co-authors"", ""exploring quantification of iodine in mammography"", ""using similar iterative reconstruction methods""],
    ""constant"": false
  }
}","{
(""B"", ""A""): [""writes""],
(""B"", ""ANSWER""): [""writes""],
(""A"", ""C""): [""has_topic""],
(""ANSWER"", ""C""): [""has_topic""],
(""ANSWER"", ""D""): [""has_topic""]
}"
