id,ground_truths,query,original_answers,reranked_answers,hit_at_1,hit_at_5,mrr,recall_at_20
2645,"[1499976, 1338425, 1365290]","I am looking for publications that both cite ""Knot invariants and M-theory: Hitchin equations, Chern-Simons actions, and surface operators"" and address the topic of supersymmetry in the context of resolved conifolds.","[1736859, 1412976, 1499976, 1338425, 1365290, 1267197, 1344370, 1407082, 1330521, 1587246, 1476397, 1339135, 1629387, 1602947, 1587331, 1539252, 1343977, 1617549, 1501810, 1295388]","[1338425, 1736859, 1499976, 1412976, 1365290, 1267197, 1344370, 1330521, 1587246, 1476397, 1339135, 1629387, 1602947, 1587331, 1539252, 1343977, 1617549, 1501810, 1407082, 1295388]",1.0,1.0,1.0,1.0
7887,[1624665],Which publications by authors affiliated with TRW Inc. discuss lowering the driving voltage needs for actuators?,"[1624665, 1281806, 1703572, 1518595, 1273161, 1490356, 1694012, 1735639, 1479792, 1589392, 1287166, 1612486, 1404265, 1479518, 1721785, 1469374, 1649755, 1524649, 1468637, 1562636]","[1624665, 1281806, 1703572, 1518595, 1273161, 1490356, 1694012, 1735639, 1479792, 1589392, 1287166, 1612486, 1404265, 1479518, 1721785, 1469374, 1649755, 1524649, 1468637, 1562636]",1.0,1.0,1.0,1.0
9015,[1403812],"I'm keen on obtaining a selection of research papers that delve into the topic of flow instability within micro-channels in relation to restrictive flow orifice. In particular, I'm interested in exploring how these unstable flows at higher pressures can affect design considerations, particularly within applications such as lab-on-a-chip technologies.","[1782439, 1742478, 1270045, 1455605, 1729769, 1768065, 1647651, 1580148, 1597259, 1289541, 1729999, 1598699, 1203737, 1723142, 1815607, 1528318, 1260682, 1319681, 1369814, 1741682]","[1782439, 1270045, 1455605, 1729769, 1768065, 1647651, 1580148, 1597259, 1289541, 1729999, 1598699, 1203737, 1723142, 1815607, 1528318, 1260682, 1319681, 1369814, 1741682, 1742478]",0.0,0.0,0.0,0.0
3941,"[1497385, 1542462]","What are the papers on graviton scattering referenced by the study ""Euler-Lagrange equations for the Gribov reggeon calculus in QCD and in gravity""?","[1542462, 1497385, 1765742, 1715014, 1376489, 1767676, 1815397, 1745636, 1695936, 1571197, 1424881, 1619536, 1852090, 1506395, 1287132, 1807680, 1463794, 1698457, 1193535, 1468848]","[1542462, 1497385, 1695936, 1571197, 1424881, 1619536, 1852090, 1506395, 1287132, 1807680, 1463794, 1698457, 1193535, 1468848, 1765742, 1715014, 1376489, 1767676, 1815397, 1745636]",1.0,1.0,1.0,1.0
4074,[1397999],"Can you find papers published in 2009 about Korea's participation in ITER, which either cite or are referenced by the paper titled, ""Detail procedure of pressure and baking test for ITER vacuum vessel lower port stub extension?","[1397999, 1493848, 1174454, 1380909, 1654569, 1312212, 1607131, 1665624, 1839930, 1379810, 1790500, 1788227, 1812857, 1529991, 1377243, 1587408, 1301878, 1784570, 1783625, 1512649]","[1397999, 1493848, 1174454, 1380909, 1654569, 1312212, 1607131, 1665624, 1839930, 1379810, 1788227, 1587408, 1790500, 1812857, 1529991, 1377243, 1301878, 1784570, 1783625, 1512649]",1.0,1.0,1.0,1.0
11496,"[1847187, 1677381]",Please find articles related to control logic with a focus on enhancing system reliability when faced with shading conditions.,"[1677714, 1597586, 1677381, 1349025, 1497612, 1290969, 1248496, 1720939, 1591818, 1283760, 1446680, 1245912, 1270249, 1847187, 1484582, 1546915, 1705335, 1422627, 1344677, 1443343]","[1677714, 1349025, 1290969, 1248496, 1720939, 1591818, 1283760, 1705335, 1847187, 1597586, 1677381, 1497612, 1446680, 1245912, 1270249, 1484582, 1546915, 1422627, 1344677, 1443343]",0.0,0.0,0.1111111111111111,1.0
145,[1783938],"I'm looking for papers with at least one shared author with ""Physics of Microswimmers - Single Particle Motion and Collective Behavior"", that explore the subject of active turbulence and transport in a self-assembled spinning particles gas within the same research field.","[1261959, 1686591, 1721053, 1473593, 1514578, 1205143, 1491611, 1572486, 1419925, 1715569, 1330836, 1687053, 1660476, 1376827, 1350654, 1674318, 1201810, 1537126, 1534377, 1681524]","[1715569, 1261959, 1686591, 1721053, 1473593, 1514578, 1205143, 1491611, 1419925, 1330836, 1687053, 1674318, 1201810, 1681524, 1572486, 1660476, 1376827, 1350654, 1537126, 1534377]",0.0,0.0,0.0,0.0
9814,"[1831712, 1625667, 1449231, 1488913, 1854067, 1632789, 1557018, 1793818, 1780189]","Could you locate studies co-authored by the same individual(s) who contributed to ""Critical behaviors and phase diagrams of the mixed spin-1 and spin-7/2 Blume-Capel (BC) Ising model on the Bethe lattice (BL),"" that remain within the same field? Specifically, documents that similarly examine phases in a spin model?","[1397579, 1817552, 1584132, 1182931, 1416900, 1273028, 1625423, 1343739, 1755799, 1547319, 1532540, 1205668, 1327849, 1813408, 1230161, 1831712, 1793818, 1557018, 1632789, 1780189]","[1831712, 1632789, 1584132, 1625423, 1532540, 1205668, 1327849, 1793818, 1780189, 1397579, 1182931, 1416900, 1273028, 1343739, 1755799, 1547319, 1813408, 1557018, 1817552, 1230161]",1.0,1.0,1.0,0.5555555555555556
2665,"[1413233, 1763067, 1436236]","Can I find any papers by coauthors of ""Role of surface recombination in affecting the efficiency of nanostructured thin-film solar cells"" that also explore enhancing light absorption and trapping strategies for better solar cell efficiency?","[1413233, 1436236, 1249193, 1319518, 1525269, 1556727, 1460348, 1560624, 1466980, 1701761, 1311617, 1553395, 1730830, 1487619, 1302276, 1538726, 1532575, 1763067, 1529571, 1658368]","[1701761, 1302276, 1538726, 1532575, 1763067, 1529571, 1730830, 1413233, 1436236, 1249193, 1319518, 1525269, 1556727, 1460348, 1560624, 1466980, 1311617, 1553395, 1487619, 1658368]",0.0,1.0,0.2,1.0
12248,[1543952],Are there any research papers from Clare College exploring the confinement of gravitational magnetic fields within a torus in the field of Torus studies?,"[1853379, 1292588, 1579156, 1212991, 1696170, 1555291, 1264442, 1357425, 1797929, 1310074, 1437313, 1584290, 1612266, 1755668, 1668104, 1583328, 1562219, 1630446, 1401744, 1859507]","[1853379, 1437313, 1584290, 1612266, 1755668, 1668104, 1583328, 1562219, 1630446, 1401744, 1859507, 1292588, 1579156, 1212991, 1696170, 1555291, 1264442, 1357425, 1797929, 1310074]",0.0,0.0,0.0,0.0
9378,[1411904],Does any research originating from the Federal University of Ceará involve studying room temperature acoustic-phonon emission in the realm of Terahertz radiation?,"[1862669, 1548304, 1267045, 1538683, 1290118, 1411904, 1234208, 1189638, 1254214, 1854374, 1577569, 1240313, 1841945, 1658758, 1542072, 1584783, 1365232, 1531849, 1437704, 1847771]","[1862669, 1548304, 1267045, 1538683, 1290118, 1411904, 1234208, 1189638, 1254214, 1854374, 1577569, 1240313, 1841945, 1658758, 1542072, 1584783, 1365232, 1531849, 1437704, 1847771]",0.0,0.0,0.16666666666666666,1.0
5650,"[1393508, 1365940, 1350135]",Could you show me some research papers that explore generating multiple wavelengths using Barium nitrate in their studies?,"[1393508, 1365940, 1395635, 1350135, 1624383, 1400497, 1233860, 1374591, 1230980, 1485516, 1449585, 1180917, 1581337, 1225535, 1490949, 1505169, 1585953, 1626940, 1511365, 1392931]","[1393508, 1365940, 1395635, 1350135, 1624383, 1400497, 1233860, 1374591, 1230980, 1485516, 1449585, 1180917, 1581337, 1225535, 1490949, 1505169, 1585953, 1626940, 1511365, 1392931]",1.0,1.0,1.0,1.0
8939,[1746436],"Looking for papers from the co-authors of ""Elastic properties and electronic structure of Mo2FeB2 alloyed with Cr, Ni and Mn by first-principles calculations"", which further explore the structural stability and elastic properties of Mo2FeB2 alloyed with different elements, similar to the initial investigations with Cr, Ni, and Mn.","[1746436, 1755797, 1722138, 1450300, 1661749, 1676343, 1254080, 1507089, 1298831, 1530858, 1283008, 1274013, 1870383, 1387685, 1830355, 1434016, 1234857, 1207295, 1183487, 1544500]","[1746436, 1755797, 1722138, 1450300, 1661749, 1676343, 1254080, 1507089, 1283008, 1274013, 1234857, 1298831, 1530858, 1870383, 1387685, 1830355, 1434016, 1207295, 1183487, 1544500]",1.0,1.0,1.0,1.0
11852,"[1224411, 1517847]",Show me publications by Ryan Gavin on squark production and decay incorporating parton shower matching.,"[1224411, 1517847, 1356594, 1198890, 1652186, 1293913, 1589686, 1761284, 1757738, 1577471, 1545033, 1582258, 1745176, 1757434, 1546741, 1561379, 1682047, 1664199, 1570061, 1363559]","[1224411, 1517847, 1356594, 1198890, 1652186, 1293913, 1589686, 1761284, 1757738, 1577471, 1545033, 1582258, 1546741, 1682047, 1664199, 1570061, 1363559, 1745176, 1757434, 1561379]",1.0,1.0,1.0,1.0
1750,"[1621720, 1628268, 1650015]",Show me research papers about Central composite design focusing on parameters that influence nanomagnetite particles.,"[1621720, 1628268, 1650015, 1495810, 1801450, 1427442, 1451195, 1837958, 1711881, 1646471, 1681763, 1736862, 1771558, 1474694, 1305588, 1736569, 1801359, 1845900, 1605043, 1178205]","[1621720, 1650015, 1628268, 1495810, 1837958, 1711881, 1771558, 1474694, 1305588, 1801359, 1845900, 1605043, 1801450, 1427442, 1451195, 1646471, 1681763, 1736862, 1736569, 1178205]",1.0,1.0,1.0,1.0
3212,[1331689],Could you show me some 2015 publications on Sensitivity in control systems that have evaluated channel sets for human observer performance prediction?,"[1331689, 1312380, 1731912, 1503463, 1174622, 1284180, 1442627, 1615282, 1545922, 1324113, 1578514, 1238939, 1514365, 1502787, 1447251, 1689309, 1566937, 1289611, 1514060, 1411629]","[1331689, 1174622, 1284180, 1442627, 1615282, 1545922, 1324113, 1578514, 1514365, 1447251, 1689309, 1566937, 1289611, 1411629, 1312380, 1731912, 1503463, 1238939, 1502787, 1514060]",1.0,1.0,1.0,1.0
5332,"[1256136, 1323386, 1596085, 1703326]",Which scholarly articles are there from Athabasca University that focus on the examination and interpretation of auroral images?,"[1348989, 1206730, 1352542, 1294010, 1570627, 1565475, 1300391, 1711553, 1458861, 1483830, 1652532, 1556255, 1306868, 1833082, 1595677, 1798867, 1726874, 1383142, 1537004, 1286503]","[1348989, 1206730, 1352542, 1570627, 1565475, 1652532, 1833082, 1595677, 1798867, 1294010, 1300391, 1711553, 1458861, 1483830, 1556255, 1306868, 1726874, 1383142, 1537004, 1286503]",0.0,0.0,0.0,0.0
12719,"[1175186, 1198349, 1175286]",Show me publications by T. Okada focusing on the study of Ion Cyclotron Range of Frequencies (ICRF) wave excitation and propagation.,"[1460582, 1437953, 1287553, 1527398, 1329172, 1749959, 1664724, 1628043, 1502655, 1520854, 1175340, 1367015, 1318386, 1192649, 1358372, 1510346, 1869933, 1409829, 1359793, 1871958]","[1437953, 1527398, 1329172, 1749959, 1664724, 1628043, 1502655, 1520854, 1175340, 1367015, 1318386, 1192649, 1358372, 1510346, 1869933, 1409829, 1359793, 1871958, 1460582, 1287553]",0.0,0.0,0.0,0.0
7395,[1587480],Show me articles by W Zabolotny on the performance of CMS resistive plate chambers.,"[1374054, 1189533, 1563682, 1755498, 1733193, 1571408, 1742421, 1636416, 1245336, 1382548, 1636262, 1312106, 1697753, 1716764, 1818056, 1720411, 1181809, 1733512, 1576307, 1733930]","[1374054, 1636262, 1818056, 1733512, 1189533, 1563682, 1755498, 1733193, 1571408, 1742421, 1636416, 1245336, 1382548, 1312106, 1697753, 1716764, 1720411, 1181809, 1576307, 1733930]",0.0,0.0,0.0,0.0
2288,"[1237224, 1355967]",Show me publications by A. Matic on neutron beam properties.,"[1355967, 1237224, 1443284, 1374919, 1314026, 1345596, 1459603, 1599998, 1548825, 1649862, 1753159, 1425339, 1385690, 1591181, 1388487, 1431553, 1673434, 1653130, 1616920, 1745051]","[1355967, 1237224, 1443284, 1649862, 1388487, 1616920, 1745051, 1374919, 1314026, 1345596, 1459603, 1599998, 1548825, 1753159, 1425339, 1385690, 1591181, 1431553, 1673434, 1653130]",1.0,1.0,1.0,1.0
13011,"[1626369, 1690011, 1211167, 1235105, 1176744, 1576233, 1578293, 1219383, 1611064, 1197880, 1482299, 1636161, 1377224, 1498193, 1602392, 1270758, 1612021, 1185530, 1333115, 1615997]",Could you show me some papers that delve into quantum reasoning and its applications within the Principle of locality field?,"[1313869, 1422596, 1333115, 1611064, 1270758, 1578293, 1576233, 1185530, 1615997, 1498193, 1197880, 1612021, 1211167, 1176744, 1636161, 1377224, 1482299, 1327407, 1626369, 1502796]","[1313869, 1611064, 1197880, 1176744, 1636161, 1422596, 1576233, 1615997, 1612021, 1211167, 1377224, 1482299, 1333115, 1270758, 1578293, 1185530, 1498193, 1327407, 1626369, 1502796]",0.0,1.0,0.5,0.8
2548,"[1749856, 1706599, 1746798, 1181265, 1681980]",Which publications authored by individuals affiliated with the Sukkur Institute of Business Administration explore the relationship between intensity noise correlations?,"[1706599, 1774231, 1535612, 1208310, 1330482, 1625143, 1257840, 1559899, 1340193, 1485441, 1529279, 1398307, 1655373, 1710883, 1265800, 1460995, 1301278, 1522759, 1466138, 1706978]","[1706599, 1774231, 1535612, 1208310, 1330482, 1625143, 1257840, 1559899, 1340193, 1485441, 1529279, 1398307, 1655373, 1710883, 1265800, 1460995, 1301278, 1522759, 1466138, 1706978]",1.0,1.0,1.0,0.2
1978,"[1840857, 1858139, 1869974, 1761151]",Show me publications by I. G. Miron on the topic of integrating plasma-edge in tokamaks.,"[1761151, 1858139, 1758136, 1858214, 1863141, 1840857, 1869974, 1869984, 1765999, 1186872, 1636075, 1814345, 1766878, 1469373, 1537852, 1870787, 1328025, 1782463, 1410350, 1634955]","[1858139, 1766878, 1469373, 1782463, 1410350, 1634955, 1761151, 1758136, 1858214, 1863141, 1840857, 1869974, 1869984, 1765999, 1186872, 1636075, 1814345, 1537852, 1870787, 1328025]",1.0,1.0,1.0,1.0
11336,"[1703631, 1771639]",Could you find the research papers by Malinda L. C. Buffon related to thermoelectric materials?,"[1774336, 1536696, 1483697, 1820286, 1858114, 1329296, 1815171, 1745098, 1365729, 1441224, 1183676, 1569162, 1364304, 1573006, 1629214, 1465694, 1767191, 1737766, 1771639, 1703631]","[1483697, 1858114, 1329296, 1815171, 1745098, 1365729, 1441224, 1183676, 1364304, 1573006, 1629214, 1465694, 1767191, 1737766, 1771639, 1703631, 1774336, 1536696, 1820286, 1569162]",0.0,0.0,0.06666666666666667,1.0
12661,[1552857],Find papers from Pittsburg State University researchers on dark matter exploration through gamma rays.,"[1641808, 1461003, 1523104, 1620713, 1224581, 1612729, 1407083, 1446862, 1596423, 1564952, 1606297, 1435899, 1257907, 1247186, 1380083, 1567733, 1576509, 1387609, 1451640, 1378872]","[1407083, 1446862, 1596423, 1564952, 1606297, 1435899, 1257907, 1247186, 1380083, 1567733, 1576509, 1387609, 1378872, 1641808, 1461003, 1523104, 1620713, 1224581, 1612729, 1451640]",0.0,0.0,0.0,0.0
11538,"[1842826, 1640743]","Find publications by co-authors of ""Validity of the generalized density matrix method for the microscopic calculation of a collective/bosonic Hamiltonian"", which also explore the topic of thermalization in small isolated systems.","[1299768, 1583838, 1807198, 1175716, 1381386, 1864085, 1490020, 1740423, 1807703, 1396307, 1628354, 1489365, 1484750, 1777358, 1823213, 1639705, 1784244, 1199852, 1867615, 1771418]","[1299768, 1583838, 1807198, 1175716, 1381386, 1864085, 1490020, 1740423, 1807703, 1396307, 1628354, 1489365, 1484750, 1777358, 1823213, 1639705, 1784244, 1199852, 1867615, 1771418]",0.0,0.0,0.0,0.0
8029,"[1453219, 1364772, 1389553, 1568050, 1611732, 1393691]","What other research papers on quiet sun magnetism has the study ""Spectropolarimetric Evidence for a Siphon Flow along an Emerging Magnetic Flux Tube"" cited?","[1546158, 1568050, 1389553, 1611732, 1364772, 1453219, 1569794, 1718516, 1393691, 1596207, 1598469, 1507236, 1518672, 1537697, 1326463, 1496833, 1321379, 1815340, 1541956, 1314937]","[1718516, 1815340, 1541956, 1546158, 1568050, 1389553, 1611732, 1364772, 1453219, 1569794, 1393691, 1596207, 1598469, 1507236, 1518672, 1537697, 1326463, 1496833, 1321379, 1314937]",0.0,1.0,0.2,1.0
11635,"[1848925, 1722294]",Show me publications by F. Pallas that discuss a multifunctional laser system.,"[1848925, 1722294, 1305578, 1326824, 1500480, 1758692, 1855066, 1413222, 1853302, 1868667, 1715024, 1649787, 1189639, 1297636, 1266185, 1383338, 1319995, 1194303, 1839351, 1359181]","[1848925, 1326824, 1758692, 1413222, 1868667, 1715024, 1649787, 1189639, 1297636, 1266185, 1383338, 1319995, 1194303, 1839351, 1359181, 1722294, 1305578, 1500480, 1855066, 1853302]",1.0,1.0,1.0,1.0
9132,[1223510],Show me publications by M. Giunta exploring constraints on a lightweight pseudoscalar Higgs particle.,"[1225031, 1573196, 1743542, 1864460, 1474120, 1578591, 1369662, 1622324, 1313535, 1562835, 1313117, 1744732, 1309035, 1842504, 1293279, 1199466, 1640255, 1277719, 1432479, 1449055]","[1277719, 1432479, 1449055, 1225031, 1573196, 1743542, 1864460, 1474120, 1578591, 1369662, 1622324, 1313535, 1562835, 1313117, 1744732, 1309035, 1842504, 1293279, 1199466, 1640255]",0.0,0.0,0.0,0.0
6448,"[1540055, 1537196, 1581518, 1446527]","What are some other works that have referenced or examined ""Stochastic Background of Gravitational Waves from Fermions -- Theory and Applications"" in relation to anisotropies in the gravitational wave background?","[1540055, 1446527, 1793210, 1574253, 1581518, 1192986, 1601495, 1493978, 1861537, 1278928, 1427288, 1787364, 1266892, 1695289, 1711828, 1537196, 1810319, 1618961, 1456786, 1681799]","[1446527, 1574253, 1695289, 1540055, 1493978, 1787364, 1711828, 1192986, 1601495, 1861537, 1278928, 1427288, 1266892, 1810319, 1618961, 1681799, 1537196, 1793210, 1581518, 1456786]",1.0,1.0,1.0,1.0
467,[1538549],"Can you find papers that explore Pc4-5 pulsations' influence on chorus waves and are referenced in ""Cluster observations of whistler mode ducts and banded chorus""?","[1538549, 1397101, 1463134, 1317776, 1654586, 1402133, 1533119, 1216650, 1526081, 1541701, 1297450, 1734669, 1673437, 1495162, 1590806, 1191833, 1190943, 1188676, 1514235, 1492306]","[1538549, 1397101, 1216650, 1541701, 1297450, 1734669, 1495162, 1191833, 1190943, 1514235, 1492306, 1317776, 1463134, 1654586, 1402133, 1533119, 1526081, 1673437, 1590806, 1188676]",1.0,1.0,1.0,1.0
3671,[1270627],Which publications by Monash University South Africa scholars focus on germanium defect analysis?,"[1270627, 1255820, 1228059, 1534748, 1834031, 1390212, 1470092, 1304345, 1224794, 1474770, 1767025, 1510958, 1530838, 1365802, 1678576, 1305038, 1427389, 1457141, 1396201, 1466781]","[1270627, 1474770, 1678576, 1305038, 1255820, 1228059, 1534748, 1834031, 1390212, 1470092, 1304345, 1224794, 1767025, 1510958, 1530838, 1365802, 1427389, 1457141, 1396201, 1466781]",1.0,1.0,1.0,1.0
10579,"[1217473, 1643105, 1869763, 1274631, 1789259, 1594355, 1208756, 1577236, 1305628, 1399679]","Find more publications from the co-authors of ""Intense EM filamentation in relativistic hot plasmas"" that delve into the principles of self-organization.","[1561155, 1531097, 1397279, 1530681, 1403546, 1302984, 1727538, 1328768, 1414194, 1794705, 1752725, 1599953, 1863705, 1294054, 1632108, 1234706, 1384972, 1716873, 1397429, 1726884]","[1561155, 1397279, 1530681, 1302984, 1727538, 1531097, 1414194, 1794705, 1632108, 1384972, 1716873, 1726884, 1599953, 1234706, 1403546, 1328768, 1752725, 1863705, 1294054, 1397429]",0.0,0.0,0.0,0.0
653,"[1174361, 1231589]",Show me publications by R. Brown on the formation of high-temperature field configurations through the merging of compact toroids.,"[1174361, 1488995, 1231589, 1572611, 1694668, 1744133, 1175988, 1856156, 1419068, 1357493, 1797929, 1683524, 1457375, 1758518, 1268610, 1351526, 1866747, 1651905, 1338468, 1221764]","[1174361, 1231589, 1457375, 1351526, 1651905, 1488995, 1572611, 1694668, 1744133, 1175988, 1856156, 1419068, 1357493, 1797929, 1683524, 1758518, 1268610, 1866747, 1338468, 1221764]",1.0,1.0,1.0,1.0
13234,"[1642503, 1700246, 1856792, 1845017, 1553693, 1551773, 1825696, 1336614, 1819951, 1203383, 1859512, 1794501, 1626571, 1189837, 1484110, 1821418, 1785459, 1857012, 1841529]",Show me publications on gravity theories from the co-authors involved in the 'Extensions of Lorentzian spacetime geometry: From Finsler to Cartan and vice versa' paper.,"[1553693, 1642503, 1785459, 1845017, 1794501, 1630238, 1857012, 1841529, 1626571, 1821418, 1825696, 1859512, 1189837, 1856792, 1336614, 1819951, 1551773, 1203383, 1484110, 1700246]","[1553693, 1785459, 1845017, 1794501, 1857012, 1642503, 1630238, 1841529, 1626571, 1821418, 1825696, 1859512, 1189837, 1856792, 1336614, 1819951, 1551773, 1203383, 1484110, 1700246]",1.0,1.0,1.0,1.0
10701,"[1625217, 1608326, 1565254, 1867295, 1595758, 1831349, 1599231]",Show me publications by L. Lebanowski related to the study of neutrino oscillation experiments.,"[1867295, 1599231, 1831349, 1595758, 1565254, 1829456, 1625217, 1608326, 1842977, 1463140, 1869891, 1854517, 1766735, 1454803, 1245697, 1432073, 1543964, 1188144, 1370541, 1656534]","[1599231, 1829456, 1625217, 1463140, 1869891, 1432073, 1188144, 1831349, 1854517, 1766735, 1543964, 1454803, 1370541, 1656534, 1867295, 1595758, 1565254, 1608326, 1842977, 1245697]",1.0,1.0,1.0,1.0
9338,"[1300347, 1351469]","What research papers that delve into heat transfer optimization methods have been referenced in the study titled ""Temperature–heat diagram analysis method for heat recovery physical adsorption refrigeration cycle – Taking multi-stage cycle as an example""?","[1856682, 1747776, 1379816, 1870835, 1180246, 1243354, 1263187, 1378026, 1756286, 1725589, 1840126, 1552208, 1300347, 1737648, 1757059, 1814441, 1838287, 1848973, 1412692, 1351469]","[1747776, 1840126, 1848973, 1412692, 1856682, 1379816, 1243354, 1725589, 1870835, 1180246, 1263187, 1378026, 1756286, 1552208, 1300347, 1737648, 1757059, 1814441, 1838287, 1351469]",0.0,0.0,0.06666666666666667,1.0
